"tqpkiprofara01","tqpkiprofara02","tqpkiprofara03","tqpkiprofara04","srv_ac","aras_cpn","ar_mediador","cpcewprojbos01","cpcewprojbos02","srv_ar","tqbznprowebc02","tqbznprowebc03","tqbznprowebc04","tqbznprowebc05","tqbznprowebc06","tqbznprowebc07","tqbznprowebc08","tqbznprowebc09","tqbznprowebc10","tqbznprowebc11","tqbznprowebc12","tqbznprowebc13","tqbznprowebc14","tqbznprowebc15","tqrfcprowebl21","tqrfcprowebl22","tqrfcprowebl23","tqrfcprowebl24","tqrfcprowebl26","tqrfcprowebl27","tqrfcprowebl28","tqrfcprowebl29","tqrfcprowebl30","tqrfcprowebl31","tqrfcprowebl32","tqrfcprowebl34","tqrfcprowebl35","tqrfcprowebl36","tqrfcprowebl37","tqrfcprowebl38","tqrfcprowebl39","tqrfcprowebl40","tqrfcprowebl42","tqrfcprowebl43","tqrfcprowebl44","tqrfcprowebl45","tqrfcprowebl46","tqrfcprowebl47","tqrfcprowebl48","tqrfcprowebl49","tqrfcprowebl50","tqrfcprowebl51","tqrfcprowebl52","tqrfcprowebl53","tqrfcprowebl54","tqrfcprowebl55","tqrfcprowebl56","tqrfcprowebl57","tqrfcprowebl58","tqrfcprowebl65","tqrfcprowebl82","tqrfcprowebl83","tqrfcprowebl84"
"2017-05-07 00:00:00",0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-05-07 00:03:00",0,64,1,0,2,72,0,0,82,0,0,16,16,0,24,16,8,0,16,8,0,8,24,0,0,0,0,0,2,1,0,1,2,0,2,11,0,0,2,9,1,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,3,4,4,5
"2017-05-07 00:06:00",0,84,0,0,0,72,0,0,84,0,0,8,8,0,8,24,0,16,8,16,0,8,8,0,0,0,0,0,2,2,2,0,4,1,0,0,0,6,9,6,6,10,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,8,2,0,5
"2017-05-07 00:09:00",0,68,0,54,0,72,0,0,82,0,0,8,24,0,0,0,16,0,0,16,0,8,0,0,0,0,0,0,4,1,1,0,1,1,0,15,1,0,21,13,1,3,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0,1,0,20,3,18,15
"2017-05-07 00:12:00",0,90,0,87,0,72,0,0,83,0,0,24,24,0,8,40,8,16,24,8,0,24,40,0,0,0,0,0,5,1,0,1,1,0,1,0,21,17,0,12,4,5,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,5,14,22,0
"2017-05-07 00:15:00",0,71,0,66,2,72,0,0,84,0,0,0,16,0,16,8,24,8,16,24,0,0,24,0,0,0,0,0,0,0,1,0,0,2,3,9,2,12,11,1,7,3,0,0,0,0,2,0,1,1,0,0,2,1,2,0,0,0,0,1,11,2,0
"2017-05-07 00:18:00",0,72,0,55,0,72,0,0,83,0,0,16,8,0,0,0,8,8,0,16,0,8,8,0,0,0,0,0,0,2,0,0,2,0,0,17,23,2,7,6,5,13,0,0,0,0,1,0,0,0,0,2,3,1,0,0,3,0,2,4,1,2,2
"2017-05-07 00:21:00",6,70,0,67,0,72,0,0,83,0,0,8,16,0,32,16,8,8,16,16,0,8,8,0,0,0,0,0,1,2,0,0,2,2,3,0,9,0,5,11,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,4,10,0,6
"2017-05-07 00:24:00",41,67,0,70,0,72,0,0,85,0,0,16,32,0,16,24,32,0,24,0,0,0,16,0,0,0,0,0,0,3,1,0,0,0,0,8,6,5,16,12,1,1,0,0,0,0,0,1,0,1,0,2,2,0,0,4,1,1,1,10,2,1,9
"2017-05-07 00:27:00",33,78,0,75,0,72,0,0,82,0,0,16,8,0,16,8,16,8,8,16,0,32,8,0,0,0,0,0,2,0,0,1,0,0,2,10,12,8,0,8,7,7,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,2,0,12,8,17,0
